Country,Site,Variable,Unit,Hazard_Key,SSP1-2.6_2020s,SSP1-2.6_2030s,SSP1-2.6_2040s,SSP1-2.6_2050s,SSP1-2.6_2060s,SSP1-2.6_2070s,SSP1-2.6_2080s,SSP1-2.6_2090s,SSP2-4.5_2020s,SSP2-4.5_2030s,SSP2-4.5_2040s,SSP2-4.5_2050s,SSP2-4.5_2060s,SSP2-4.5_2070s,SSP2-4.5_2080s,SSP2-4.5_2090s,SSP3-7.0_2020s,SSP3-7.0_2030s,SSP3-7.0_2040s,SSP3-7.0_2050s,SSP3-7.0_2060s,SSP3-7.0_2070s,SSP3-7.0_2080s,SSP3-7.0_2090s,SSP5-8.5_2020s,SSP5-8.5_2030s,SSP5-8.5_2040s,SSP5-8.5_2050s,SSP5-8.5_2060s,SSP5-8.5_2070s,SSP5-8.5_2080s,SSP5-8.5_2090s
Korea,Saehan Jeongeup,Evapotranspiration,mm/day,Drought (Evap mm/day),2.458,2.569,2.652,2.651,2.671,2.639,2.665,2.709,2.446,2.46,2.517,2.646,2.632,2.634,2.694,2.708,2.345,2.405,2.409,2.427,2.512,2.568,2.625,2.704,2.445,2.48,2.556,2.678,2.686,2.795,2.855,2.926
Korea,Saehan Jeongeup,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.029,0.021,0.022,0.021,0.016,0.019,0.019,0.019,0.027,0.019,0.015,0.015,0.017,0.012,0.01,0.012,0.03,0.015,0.02,0.017,0.013,0.008,0.004,0.008,0.033,0.02,0.012,0.014,0.015,0.005,0.004,0.003
Korea,Saehan Jeongeup,Near-Surface Wind Speed,m/s,Wind Speed (m/s),4.237,4.255,4.298,4.256,4.271,4.217,4.222,4.238,4.284,4.157,4.13,4.17,4.147,4.16,4.151,4.239,4.141,4.158,4.202,4.108,4.185,4.059,4.057,4.062,4.274,4.299,4.163,4.231,4.182,4.159,4.104,4.117
Korea,Saehan Jeongeup,Sea Surface Height Anomaly,cm,Sea Level (cm),37.343,38.865,37.101,35.25,36.445,37.694,36.517,36.509,37.713,37.606,38.064,37.892,36.474,34.264,34.412,33.038,38.309,39.838,38.947,37.919,36.542,37.036,39.429,40.215,37.069,37.769,37.284,37.867,35.944,38.705,38.734,39.947
Korea,Saehan Jeongeup,Total Runoff,mm/day,Runoff (mrro mm/day),0.63,0.502,0.561,0.217,0.613,0.337,0.418,0.679,0.308,0.407,0.765,0.687,0.64,0.529,0.332,0.268,0.216,0.481,0.499,0.714,0.569,0.779,0.982,0.783,0.459,0.233,0.873,0.72,0.788,0.781,0.927,0.919
Korea,Saehan Jeongeup,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),25.834,24.402,25.153,22.611,24.694,23.074,24.181,24.922,24.458,24.812,26.243,25.622,25.19,24.681,23.683,23.299,24.09,26.24,25.777,25.837,25.217,25.11,26.649,25.792,25.045,23.332,24.579,26.129,25.079,25.374,25.574,25.855
Korea,Saehan Jeongeup,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),7.842,8.197,8.333,8.551,8.498,8.31,8.658,8.561,7.67,8.046,8.375,8.712,8.74,8.901,9.058,8.97,7.744,8.186,8.091,8.519,8.785,9.255,9.713,9.953,7.841,8.011,8.486,8.94,9.218,9.641,10.289,10.857
Korea,Saehan Jeongeup,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),176.433,181.812,184.269,186.247,184.806,186.754,185.469,186.836,176.505,176.035,178.193,181.424,183.692,182.108,187.462,185.613,172.86,171.814,169.645,172.127,175.302,178.006,176.041,178.202,174.795,179.1,180.758,180.208,183.381,184.496,186.419,187.384
China,OCI Shanghai,Daily Max Temperature,degC,Heat Wave (Tmax C),18.378,19.036,19.324,19.453,19.594,19.113,19.959,19.673,18.348,18.624,19.314,19.872,19.89,20.286,20.756,20.372,18.238,18.941,19.085,19.632,20.495,20.991,21.567,22.045,18.384,18.784,19.624,20.28,20.763,21.676,22.405,23.239
China,OCI Shanghai,Daily Min Temperature,degC,Cold Wave (Tmin C),14.334,15.06,15.371,15.479,15.733,15.328,16.001,15.774,14.306,14.635,15.274,15.855,15.79,16.213,16.653,16.412,14.134,14.852,14.91,15.459,16.226,16.715,17.378,17.91,14.307,14.725,15.515,16.199,16.638,17.595,18.296,19.133
China,OCI Shanghai,Near-Surface Air Temperature,degC,Mean Temp (Tas C),16.316,17.006,17.303,17.424,17.616,17.184,17.929,17.674,16.272,16.58,17.25,17.81,17.773,18.196,18.641,18.33,16.12,16.839,16.926,17.467,18.292,18.765,19.38,19.874,16.299,16.713,17.507,18.179,18.626,19.546,20.248,21.091
China,OCI Shanghai,Precipitation,mm/day,Heavy Rain (Pr mm/day),4.734,5.042,5.31,5.545,5.177,5.793,5.185,5.379,4.946,5.075,5.191,5.494,4.741,4.915,5.175,5.988,4.944,5.403,5.625,5.376,5.318,4.861,5.8,5.441,4.868,4.786,4.96,5.153,5.06,5.616,5.83,5.917
China,OCI Shanghai,Evapotranspiration,mm/day,Drought (Evap mm/day),2.952,3.038,3.158,3.17,3.196,3.089,3.272,3.214,2.902,2.895,2.943,3.101,3.115,3.123,3.233,3.22,2.784,2.819,2.848,2.881,2.997,3.008,3.038,3.136,2.944,2.948,3.001,3.089,3.124,3.219,3.262,3.409
China,OCI Shanghai,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.001,0.001,0.003,0.001,0.0,0.006,0.0,0.0,0.002,0.001,0.001,0.0,0.001,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.005,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
China,OCI Shanghai,Near-Surface Wind Speed,m/s,Wind Speed (m/s),3.495,3.524,3.576,3.489,3.55,3.492,3.545,3.503,3.508,3.496,3.488,3.46,3.463,3.469,3.437,3.498,3.438,3.473,3.475,3.472,3.421,3.34,3.38,3.417,3.512,3.558,3.439,3.509,3.465,3.456,3.472,3.467
China,OCI Shanghai,Sea Surface Height Anomaly,cm,Sea Level (cm),33.742,35.458,33.857,32.637,33.29,34.407,31.611,33.211,34.606,35.262,33.528,34.19,32.797,30.037,30.228,29.64,34.559,36.211,34.49,33.953,31.29,32.234,34.466,33.915,33.331,34.132,33.563,34.105,31.905,34.766,34.358,34.631
China,OCI Shanghai,Total Runoff,mm/day,Runoff (mrro mm/day),1.941,2.229,2.323,2.573,2.237,2.875,2.085,2.392,2.263,2.335,2.48,2.534,1.912,1.971,2.15,3.027,2.293,2.77,2.991,2.665,2.554,2.072,2.963,2.593,2.114,2.001,2.156,2.304,2.127,2.652,2.813,2.866
China,OCI Shanghai,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),30.247,30.046,30.06,30.115,29.969,30.731,29.555,30.168,30.358,30.448,29.806,30.878,29.675,29.618,30.165,30.492,31.06,31.212,31.22,30.848,30.428,30.185,31.005,30.178,30.629,29.71,29.918,29.942,29.661,30.522,30.149,30.261
China,OCI Shanghai,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),10.226,10.677,10.878,10.964,11.106,10.868,11.244,11.179,10.219,10.476,10.819,11.26,11.175,11.48,11.762,11.595,10.239,10.7,10.783,11.091,11.533,11.941,12.501,12.825,10.269,10.476,10.985,11.461,11.817,12.499,13.095,13.735
China,OCI Shanghai,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),162.263,166.604,170.559,174.369,174.027,170.5,177.982,174.568,157.529,158.641,162.307,167.575,171.037,170.979,175.04,173.138,153.161,150.09,151.258,154.544,159.369,162.428,159.598,163.559,161.329,161.459,164.788,165.796,167.981,168.953,171.402,175.19
China,Shandong OCI (ZZ),Daily Max Temperature,degC,Heat Wave (Tmax C),20.206,21.034,21.324,21.756,20.853,21.214,21.802,21.068,19.894,19.953,20.785,21.878,21.472,22.062,22.934,22.415,19.531,19.877,20.256,20.978,22.115,22.385,22.406,23.551,19.851,20.281,21.684,21.933,22.716,23.111,24.447,25.069
China,Shandong OCI (ZZ),Daily Min Temperature,degC,Cold Wave (Tmin C),10.824,11.459,11.741,11.934,11.706,11.716,12.204,11.926,10.576,10.93,11.597,12.181,12.116,12.683,13.032,12.799,10.343,10.855,11.034,11.703,12.482,13.003,13.391,14.109,10.577,11.14,11.956,12.448,13.195,13.907,14.877,15.548
China,Shandong OCI (ZZ),Near-Surface Air Temperature,degC,Mean Temp (Tas C),15.371,16.111,16.401,16.717,16.118,16.338,16.827,16.348,15.078,15.305,16.044,16.835,16.626,17.218,17.843,17.443,14.76,15.173,15.442,16.122,17.121,17.513,17.695,18.617,15.053,15.538,16.626,17.026,17.784,18.331,19.496,20.106
China,Shandong OCI (ZZ),Precipitation,mm/day,Heavy Rain (Pr mm/day),2.165,2.073,2.124,2.127,2.867,2.356,2.717,2.704,1.94,2.299,2.281,2.509,2.644,2.683,2.246,2.646,2.396,2.309,2.382,2.577,2.295,2.631,3.113,2.788,2.318,2.463,2.307,2.37,2.518,3.087,2.594,3.122
China,Shandong OCI (ZZ),Evapotranspiration,mm/day,Drought (Evap mm/day),2.0,2.007,2.099,2.02,2.528,2.202,2.344,2.432,1.895,2.133,2.206,2.243,2.391,2.421,2.158,2.341,2.091,2.197,2.182,2.167,2.07,2.288,2.514,2.437,2.154,2.259,2.046,2.239,2.291,2.543,2.349,2.686
China,Shandong OCI (ZZ),Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.083,0.091,0.055,0.069,0.057,0.063,0.062,0.088,0.12,0.113,0.055,0.037,0.096,0.05,0.04,0.028,0.08,0.09,0.059,0.067,0.034,0.023,0.03,0.021,0.096,0.048,0.07,0.046,0.033,0.028,0.023,0.004
China,Shandong OCI (ZZ),Near-Surface Wind Speed,m/s,Wind Speed (m/s),2.814,2.891,2.886,2.892,2.779,2.825,2.838,2.817,2.882,2.84,2.81,2.805,2.831,2.869,2.876,2.817,2.777,2.77,2.78,2.8,2.864,2.784,2.739,2.751,2.808,2.815,2.86,2.838,2.781,2.825,2.817,2.775
China,Shandong OCI (ZZ),Sea Surface Height Anomaly,cm,Sea Level (cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Shandong OCI (ZZ),Total Runoff,mm/day,Runoff (mrro mm/day),0.131,0.044,0.1,0.094,0.326,0.151,0.357,0.33,0.026,0.136,0.088,0.277,0.254,0.29,0.098,0.239,0.261,0.158,0.218,0.434,0.167,0.38,0.553,0.41,0.164,0.182,0.272,0.126,0.266,0.539,0.227,0.429
China,Shandong OCI (ZZ),Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),17.942,17.328,17.489,16.648,19.679,17.832,18.44,19.139,17.666,19.294,18.57,18.001,19.13,19.207,17.057,18.101,19.017,19.417,19.557,19.522,17.991,19.631,21.286,19.74,18.521,19.061,17.228,18.245,19.115,20.321,18.646,20.568
China,Shandong OCI (ZZ),Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),7.342,7.422,7.701,7.618,8.434,7.813,8.22,8.25,7.258,7.636,8.008,8.149,8.34,8.491,8.219,8.464,7.622,8.059,8.12,8.349,8.337,8.939,9.719,9.754,7.537,7.863,7.715,8.327,8.669,9.418,9.464,10.39
China,Shandong OCI (ZZ),Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),186.451,193.12,196.643,201.074,196.975,200.603,201.412,198.286,180.332,184.144,186.778,192.723,194.148,195.292,198.982,198.56,175.311,170.893,173.663,175.108,178.952,178.79,176.538,181.727,182.691,183.748,190.265,189.776,190.884,189.494,192.297,193.914
China,MaSteel OCI (MAS),Daily Max Temperature,degC,Heat Wave (Tmax C),19.194,19.843,20.037,20.268,20.327,20.034,20.875,20.309,18.967,19.155,19.925,20.72,20.751,21.287,21.661,21.305,18.785,19.507,19.667,20.271,21.213,21.871,22.19,23.057,19.204,19.719,20.624,21.006,21.802,22.462,23.469,24.308
China,MaSteel OCI (MAS),Daily Min Temperature,degC,Cold Wave (Tmin C),10.937,11.566,11.81,11.91,12.173,11.89,12.353,12.191,10.812,11.186,11.812,12.323,12.297,12.897,13.034,12.867,10.754,11.471,11.534,12.07,12.653,13.267,13.974,14.502,10.979,11.464,12.083,12.646,13.267,14.155,14.976,15.721
China,MaSteel OCI (MAS),Near-Surface Air Temperature,degC,Mean Temp (Tas C),14.886,15.558,15.763,15.921,16.099,15.816,16.445,16.1,14.696,15.028,15.721,16.33,16.337,16.937,17.18,16.914,14.556,15.32,15.392,15.934,16.749,17.335,17.861,18.535,14.925,15.414,16.186,16.649,17.337,18.103,19.007,19.775
China,MaSteel OCI (MAS),Precipitation,mm/day,Heavy Rain (Pr mm/day),4.107,4.317,4.722,4.512,4.749,4.921,4.656,5.546,4.313,4.838,4.823,4.436,4.733,4.805,4.602,4.77,4.415,4.588,4.647,4.839,4.53,4.375,5.224,4.719,4.178,4.359,4.475,4.586,4.556,5.425,5.109,5.383
China,MaSteel OCI (MAS),Evapotranspiration,mm/day,Drought (Evap mm/day),2.962,3.028,3.153,3.189,3.187,3.131,3.252,3.238,2.895,2.954,3.008,3.142,3.14,3.127,3.217,3.222,2.845,2.816,2.858,2.932,2.981,2.999,3.099,3.095,2.879,2.898,2.988,3.048,3.111,3.213,3.237,3.375
China,MaSteel OCI (MAS),Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.051,0.039,0.064,0.053,0.041,0.029,0.017,0.053,0.079,0.068,0.025,0.033,0.017,0.014,0.017,0.034,0.07,0.042,0.035,0.056,0.03,0.015,0.007,0.01,0.036,0.052,0.022,0.054,0.015,0.016,0.016,0.0
China,MaSteel OCI (MAS),Near-Surface Wind Speed,m/s,Wind Speed (m/s),2.574,2.629,2.63,2.591,2.612,2.616,2.618,2.602,2.63,2.591,2.564,2.553,2.566,2.589,2.559,2.593,2.57,2.598,2.573,2.569,2.559,2.494,2.527,2.539,2.628,2.651,2.595,2.609,2.569,2.571,2.621,2.572
China,MaSteel OCI (MAS),Sea Surface Height Anomaly,cm,Sea Level (cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,MaSteel OCI (MAS),Total Runoff,mm/day,Runoff (mrro mm/day),1.088,1.305,1.547,1.342,1.607,1.798,1.422,2.276,1.407,1.845,1.826,1.281,1.684,1.671,1.376,1.592,1.531,1.798,1.83,1.918,1.526,1.387,2.126,1.702,1.34,1.373,1.539,1.501,1.492,2.165,1.876,2.045
China,MaSteel OCI (MAS),Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),28.744,28.302,28.851,28.413,28.839,28.969,28.22,29.76,29.226,29.788,29.638,29.062,28.527,28.619,28.348,28.404,30.202,29.931,30.365,30.24,29.087,28.685,30.3,28.39,28.606,28.195,27.99,28.733,28.044,29.788,28.48,28.974
China,MaSteel OCI (MAS),Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),9.532,9.8,10.102,10.107,10.315,10.065,10.397,10.443,9.503,9.822,10.165,10.481,10.404,10.644,10.744,10.7,9.684,10.057,10.211,10.563,10.71,11.096,11.776,11.901,9.54,9.715,10.082,10.579,10.924,11.687,12.051,12.762
China,MaSteel OCI (MAS),Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),172.746,177.939,181.125,185.673,184.197,183.634,188.689,183.87,167.817,167.927,171.168,178.007,180.498,180.675,184.649,185.173,161.288,158.565,159.641,161.363,167.154,169.064,166.332,171.528,169.185,171.995,175.688,175.199,178.675,176.38,180.749,183.148
China,Jianyang Carbon (ZZ),Daily Max Temperature,degC,Heat Wave (Tmax C),20.206,21.034,21.324,21.756,20.853,21.214,21.802,21.068,19.894,19.953,20.785,21.878,21.472,22.062,22.934,22.415,19.531,19.877,20.256,20.978,22.115,22.385,22.406,23.551,19.851,20.281,21.684,21.933,22.716,23.111,24.447,25.069
China,Jianyang Carbon (ZZ),Daily Min Temperature,degC,Cold Wave (Tmin C),10.824,11.459,11.741,11.934,11.706,11.716,12.204,11.926,10.576,10.93,11.597,12.181,12.116,12.683,13.032,12.799,10.343,10.855,11.034,11.703,12.482,13.003,13.391,14.109,10.577,11.14,11.956,12.448,13.195,13.907,14.877,15.548
China,Jianyang Carbon (ZZ),Near-Surface Air Temperature,degC,Mean Temp (Tas C),15.371,16.111,16.401,16.717,16.118,16.338,16.827,16.348,15.078,15.305,16.044,16.835,16.626,17.218,17.843,17.443,14.76,15.173,15.442,16.122,17.121,17.513,17.695,18.617,15.053,15.538,16.626,17.026,17.784,18.331,19.496,20.106
China,Jianyang Carbon (ZZ),Precipitation,mm/day,Heavy Rain (Pr mm/day),2.165,2.073,2.124,2.127,2.867,2.356,2.717,2.704,1.94,2.299,2.281,2.509,2.644,2.683,2.246,2.646,2.396,2.309,2.382,2.577,2.295,2.631,3.113,2.788,2.318,2.463,2.307,2.37,2.518,3.087,2.594,3.122
China,Jianyang Carbon (ZZ),Evapotranspiration,mm/day,Drought (Evap mm/day),2.0,2.007,2.099,2.02,2.528,2.202,2.344,2.432,1.895,2.133,2.206,2.243,2.391,2.421,2.158,2.341,2.091,2.197,2.182,2.167,2.07,2.288,2.514,2.437,2.154,2.259,2.046,2.239,2.291,2.543,2.349,2.686
China,Jianyang Carbon (ZZ),Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.083,0.091,0.055,0.069,0.057,0.063,0.062,0.088,0.12,0.113,0.055,0.037,0.096,0.05,0.04,0.028,0.08,0.09,0.059,0.067,0.034,0.023,0.03,0.021,0.096,0.048,0.07,0.046,0.033,0.028,0.023,0.004
China,Jianyang Carbon (ZZ),Near-Surface Wind Speed,m/s,Wind Speed (m/s),2.814,2.891,2.886,2.892,2.779,2.825,2.838,2.817,2.882,2.84,2.81,2.805,2.831,2.869,2.876,2.817,2.777,2.77,2.78,2.8,2.864,2.784,2.739,2.751,2.808,2.815,2.86,2.838,2.781,2.825,2.817,2.775
China,Jianyang Carbon (ZZ),Sea Surface Height Anomaly,cm,Sea Level (cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Jianyang Carbon (ZZ),Total Runoff,mm/day,Runoff (mrro mm/day),0.131,0.044,0.1,0.094,0.326,0.151,0.357,0.33,0.026,0.136,0.088,0.277,0.254,0.29,0.098,0.239,0.261,0.158,0.218,0.434,0.167,0.38,0.553,0.41,0.164,0.182,0.272,0.126,0.266,0.539,0.227,0.429
China,Jianyang Carbon (ZZ),Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),17.942,17.328,17.489,16.648,19.679,17.832,18.44,19.139,17.666,19.294,18.57,18.001,19.13,19.207,17.057,18.101,19.017,19.417,19.557,19.522,17.991,19.631,21.286,19.74,18.521,19.061,17.228,18.245,19.115,20.321,18.646,20.568
China,Jianyang Carbon (ZZ),Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),7.342,7.422,7.701,7.618,8.434,7.813,8.22,8.25,7.258,7.636,8.008,8.149,8.34,8.491,8.219,8.464,7.622,8.059,8.12,8.349,8.337,8.939,9.719,9.754,7.537,7.863,7.715,8.327,8.669,9.418,9.464,10.39
China,Jianyang Carbon (ZZ),Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),186.451,193.12,196.643,201.074,196.975,200.603,201.412,198.286,180.332,184.144,186.778,192.723,194.148,195.292,198.982,198.56,175.311,170.893,173.663,175.108,178.952,178.79,176.538,181.727,182.691,183.748,190.265,189.776,190.884,189.494,192.297,193.914
Japan,OCI Japan Tokyo,Daily Max Temperature,degC,Heat Wave (Tmax C),16.184,16.633,17.014,17.43,17.182,17.081,17.554,17.365,15.846,16.275,17.075,17.758,17.947,17.924,18.415,18.16,15.961,16.769,16.783,17.59,18.049,18.903,19.576,20.102,16.135,16.497,17.389,18.183,18.719,19.569,20.57,21.542
Japan,OCI Japan Tokyo,Daily Min Temperature,degC,Cold Wave (Tmin C),11.284,11.804,12.147,12.564,12.359,12.259,12.66,12.523,11.047,11.561,12.216,12.85,12.961,13.046,13.446,13.308,11.109,11.869,11.912,12.717,13.033,13.888,14.568,15.057,11.26,11.695,12.475,13.206,13.769,14.514,15.393,16.392
Japan,OCI Japan Tokyo,Near-Surface Air Temperature,degC,Mean Temp (Tas C),13.705,14.189,14.559,14.973,14.762,14.648,15.09,14.91,14.387,14.984,14.712,15.167,15.414,15.687,15.912,15.686,13.502,14.304,14.311,15.112,15.495,16.345,17.01,17.503,13.688,14.081,14.909,15.658,16.19,16.976,17.899,18.87
Japan,OCI Japan Tokyo,Precipitation,mm/day,Heavy Rain (Pr mm/day),5.001,4.888,4.844,5.114,4.956,5.254,5.015,5.036,5.015,5.0,4.828,5.238,4.978,5.501,5.18,4.884,4.59,4.759,4.41,4.872,4.816,5.503,5.379,4.712,4.877,4.911,4.928,5.302,5.039,4.598,4.903,5.38
Japan,OCI Japan Tokyo,Evapotranspiration,mm/day,Drought (Evap mm/day),2.944,3.052,3.118,3.099,3.136,3.184,3.149,3.163,2.998,2.963,3.054,3.108,3.105,2.998,3.096,3.124,2.922,3.032,3.017,3.03,2.987,3.021,3.002,3.055,2.933,3.043,3.078,3.094,2.995,3.089,3.083,3.045
Japan,OCI Japan Tokyo,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.044,0.019,0.021,0.03,0.02,0.023,0.02,0.023,0.059,0.031,0.026,0.017,0.011,0.017,0.012,0.012,0.043,0.041,0.032,0.019,0.016,0.009,0.007,0.008,0.038,0.041,0.019,0.019,0.014,0.006,0.005,0.004
Japan,OCI Japan Tokyo,Near-Surface Wind Speed,m/s,Wind Speed (m/s),2.46,2.48,2.469,2.423,2.457,2.477,2.444,2.469,2.504,2.445,2.44,2.457,2.417,2.401,2.422,2.432,2.455,2.49,2.47,2.449,2.4,2.393,2.344,2.343,2.455,2.494,2.46,2.434,2.383,2.398,2.371,2.322
Japan,OCI Japan Tokyo,Sea Surface Height Anomaly,cm,Sea Level (cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,OCI Japan Tokyo,Total Runoff,mm/day,Runoff (mrro mm/day),2.924,2.763,2.659,2.912,2.817,3.059,2.791,2.858,2.97,2.975,2.702,3.053,2.822,3.351,3.029,2.707,2.584,2.704,2.316,2.829,2.735,3.374,3.248,2.561,2.889,2.388,3.145,2.444,2.723,2.484,2.6,2.204
Japan,OCI Japan Tokyo,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),25.098,24.965,24.585,24.827,24.826,24.988,24.803,24.69,25.148,25.149,24.804,25.022,24.711,24.836,24.774,24.873,24.783,24.829,24.51,24.731,24.662,24.859,24.693,24.52,24.833,24.926,24.775,24.775,24.844,24.348,24.398,24.511
Japan,OCI Japan Tokyo,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),9.005,9.254,9.479,9.722,9.563,9.507,9.778,9.657,8.813,9.136,9.522,9.887,9.958,10.055,10.258,10.126,8.915,9.315,9.31,9.82,9.974,10.558,11.015,11.31,9.044,9.194,9.669,10.126,10.497,10.892,11.491,12.243
Japan,OCI Japan Tokyo,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),162.239,164.169,167.773,169.366,167.489,168.47,169.567,168.292,159.23,159.379,164.733,166.08,168.926,165.633,169.461,168.138,160.584,160.71,161.865,162.295,165.637,166.587,167.961,169.798,161.614,161.718,165.173,167.047,167.639,170.346,173.537,173.984
Philippines,Philko Makati,Daily Max Temperature,degC,Heat Wave (Tmax C),30.228,30.485,30.851,30.965,31.055,31.151,31.095,31.09,30.221,30.471,30.974,31.331,31.394,31.673,31.924,32.045,30.049,30.619,31.072,31.221,31.867,32.198,32.788,33.218,30.255,30.67,31.121,31.467,32.203,32.782,33.511,34.351
Philippines,Philko Makati,Daily Min Temperature,degC,Cold Wave (Tmin C),26.49,26.707,27.168,27.237,27.338,27.477,27.436,27.426,26.547,26.74,27.223,27.514,27.741,27.901,28.1,28.276,26.401,26.842,27.342,27.439,28.014,28.36,28.797,29.298,26.518,27.022,27.362,27.721,28.371,28.929,29.526,30.19
Philippines,Philko Makati,Near-Surface Air Temperature,degC,Mean Temp (Tas C),28.142,28.391,28.802,28.891,28.982,29.1,29.052,29.037,27.349,27.75,27.853,27.775,28.059,28.195,28.539,28.338,28.007,28.519,28.997,29.124,29.73,30.065,30.58,31.044,28.181,28.628,29.029,29.386,30.073,30.647,31.298,32.046
Philippines,Philko Makati,Precipitation,mm/day,Heavy Rain (Pr mm/day),6.832,6.969,7.158,6.795,7.121,7.268,7.268,7.313,6.777,6.773,6.907,6.918,7.443,7.133,7.345,7.487,6.715,7.025,7.226,7.541,7.057,8.174,7.418,7.671,6.825,6.603,6.743,7.882,7.354,8.496,7.739,7.047
Philippines,Philko Makati,Evapotranspiration,mm/day,Drought (Evap mm/day),3.79,3.838,3.869,3.937,3.933,3.97,3.932,3.947,3.119,3.186,3.162,3.201,3.317,3.19,3.209,3.257,3.807,3.8,3.788,3.782,3.791,3.79,3.719,3.755,3.093,3.076,3.19,3.202,3.187,2.977,3.257,3.149
Philippines,Philko Makati,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Philko Makati,Near-Surface Wind Speed,m/s,Wind Speed (m/s),2.798,2.985,2.848,2.979,2.902,2.865,2.791,2.85,0.648,0.641,0.664,0.68,0.684,0.706,0.732,0.737,2.878,2.935,2.758,2.936,2.95,2.922,2.914,2.99,2.888,2.947,2.887,3.009,2.942,2.991,3.055,3.102
Philippines,Philko Makati,Sea Surface Height Anomaly,cm,Sea Level (cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Philko Makati,Total Runoff,mm/day,Runoff (mrro mm/day),3.536,3.629,3.729,3.494,3.695,3.862,3.825,3.786,3.497,3.463,3.562,3.686,4.06,3.836,4.022,4.191,3.384,3.773,3.912,4.369,3.876,5.032,4.34,4.654,3.562,3.278,3.459,4.577,4.129,5.336,4.641,4.089
Philippines,Philko Makati,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),23.691,23.251,23.741,23.357,23.884,23.926,24.239,24.201,25.972,26.932,26.493,27.328,27.444,26.526,26.521,27.693,24.351,23.374,24.058,23.221,23.035,23.759,22.916,23.341,23.406,23.768,23.092,23.696,23.201,23.472,22.973,22.197
Philippines,Philko Makati,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),18.567,18.697,19.205,19.191,19.421,19.525,19.502,19.523,18.624,18.753,19.239,19.459,19.796,19.901,20.102,20.304,18.522,18.916,19.437,19.484,20.023,20.476,20.846,21.445,18.551,19.038,19.348,19.777,20.379,20.978,21.529,22.038
Philippines,Philko Makati,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),210.091,213.707,212.142,214.9,214.132,213.629,213.245,214.715,208.5,211.392,211.932,213.006,210.273,213.387,214.087,214.577,206.397,208.436,206.107,205.6,207.792,205.361,207.918,204.629,209.248,209.962,211.671,210.764,212.697,211.992,216.175,222.386
